compartment	filename	level	annotators	publisher	publication_date	author	title	trump_count	clinton_count	credit	wire
dev	usa-today_2016-09-08_lawmaker-urges-retaliation-on-ru	9	6b86	usa-today	2016-09-08	Susan Page	Lawmaker urges retaliation on Russia; Member of House panel says U.S. has to keep Moscow out of elections	1	1	None	None
dev	usa-today_2016-09-08_laws-don-t-apply-equially-to-cli	2	5fec	usa-today	2016-09-08		Laws don't apply equially to Clinton	0	2	None	None
dev	usa-today_2016-09-08_with-two-months-to-go-trump-stil	9	4e07	usa-today	2016-09-08		With two months to go, Trump still ducks on taxes	11	1	None	None
dev	usa-today_2016-09-16_every-minutes-a-veteran-commits-	16	4e07	usa-today	2016-09-16		Every 72 minutes, a veteran commits suicide	1	1	None	None
dev	usa-today_2016-09-16_hold-melania-trump-to-her-husban	16	5fec	usa-today	2016-09-16		Hold Melania Trump to her husband's standards	6	0	None	None
dev	usa-today_2016-09-22_derelict-obama-and-clinton-trump	6	4e07	usa-today	2016-09-22	Rudy Giuliani	Derelict Obama and Clinton; Trump will go on offense against radical Islamic terrorism	2	8	None	None
dev	usa-today_2016-09-22_super-pac-haul-surges-past-b-sma	13	4b22	usa-today	2016-09-22	Fredreka Schouten, and Christopher Schnaars, USA TODAY	Super PAC haul surges past $1B; Small group of rich donors pushes tally beyond total for 2012	0	2	None	None
dev	usa-today_2016-09-23_ready-for-trump-vs-clinton-his-p	19	5fec	usa-today	2016-09-23	Aaron Kall	Ready for Trump vs. Clinton?; His primary debate tricks won't work in the three upcoming faceoffs	19	6	None	None
dev	usa-today_2016-09-23_trump-questions-the-fairness-of-	6	6b86	usa-today	2016-09-23	David Jackson, @djusatoday, USA TODAY	Trump questions the fairness of moderators ahead of debate; Talk compared to 'working the referees' at a basketball game	17	1	None	None
dev	usa-today_2016-09-29_can-you-imagine-if-trump-were-a-	2	4e07	usa-today	2016-09-29		Can you imagine if Trump were a woman?	5	0	None	None
dev	usa-today_2016-10-03_my-father-would-have-loved-trump	13	6b86	usa-today	2016-10-03	Charlotte Meehan	My father would have loved Trump; I grew up in a survivalist household. I know all about normalizing hate.	8	0	None	None
dev	wash-post_2016-09-08_virginian-could-make-history-aga	13	6b86	wash-post	2016-09-08	Jenna Portnoy	Virginian could make history. Again.	2	6	None	None
dev	wash-post_2016-09-10_outrage-but-few-options-on-the-t	6	5fec	wash-post	2016-09-10	Carol Morello	Outrage, but few options on the table	1	1	None	None
dev	wash-post_2016-09-14_a-lesson-from-loretta-lynch-be-t	20	ef2d	wash-post	2016-09-14	Matt Zapotosky	A lesson from Loretta Lynch: 'Be the voice that people hear'	0	1	None	None
dev	wash-post_2016-09-16_burma-leader-s-visit-to-washingt	3	5fec	wash-post	2016-09-16	David Nakamura	Burma leader's visit to Washington marks a bipartisan success story	0	1	None	None
dev	wash-post_2016-09-18_e-u-leaders-weigh-plans-for-grea	10	5fec	wash-post	2016-09-18	Michael Birnbaum	E.U. leaders weigh plans for greater military coordination	4	1	None	None
dev	wash-post_2016-09-21_mixed-messages-on-trump-leave-pl	20	6b86	wash-post	2016-09-21	Danielle Paquette	Mixed messages on Trump leave plan	13	0	None	None
dev	wash-post_2016-09-25_federal-court-rules-against-ohio	3	4b22	wash-post	2016-09-25	Sean Sullivan,Sari Horwitz	Federal court rules against Ohio's purges of voter rolls	2	1	None	None
dev	wash-post_2016-09-25_phone-video-is-first-public-look	10	6b86	wash-post	2016-09-25	Wesley Lowery,Mark Berman	Phone video is first public look at Charlotte death	1	2	None	None
dev	wash-post_2016-09-26_ah-friends-once-more-ted-cruz-en	13	4b22	wash-post	2016-09-26	Katie Zezima	Ah, friends once more: Ted Cruz endorses Trump, who says he is honored	22	3	None	None
dev	wash-post_2016-09-26_charlotte-struggles-to-return-to	17	4b22|4e07|5fec|6b86|d473|ef2d	wash-post	2016-09-26	Renae Merle,Sarah Larimer	Charlotte struggles to return to normal after shooting	1	3	None	None
dev	wash-post_2016-09-29_the-real-trump-showed-up-at-deba	16	5fec	wash-post	2016-09-29	Dan Balz	The real Trump showed up at debate. GOP must live with it.	22	13	None	None
dev	wash-post_2016-10-05_international-monetary-fund-slas	6	d473	wash-post	2016-10-05	byYlan Q. Mui	International Monetary Fund slashes prospect for U.S. growth	2	0	None	None
dev	west-journal_2016-09-12_obama-seeks-more-muslim-refugees	14	4e07	west-journal	2016-09-12	None	Obama Seeks More Muslim Refugees As He Recognizes Major Islamic Holiday	4	0	None	NA
dev	west-journal_2016-09-14_clinton-hid-past-health-problems	3	6b86	west-journal	2016-09-14	None	Clinton Hid Past Health Problems From Public, Former White House Doctor Says	0	1	None	NA
dev	west-journal_2016-09-15_retired-general-reveals-demorali	20	ef2d	west-journal	2016-09-15	None	Retired General Reveals ‘Demoralizing’ Experience Of Serving Under Obama	2	2	None	NA
dev	west-journal_2016-09-21_chris-christie-calls-hillary-cli	17	4b22	west-journal	2016-09-21	None	Chris Christie Calls Hillary Clinton ‘A Disgrace’ Over Police Shooting Comments	3	8	None	NA
dev	west-journal_2016-09-23_clinton-breaks-with-obama-on-law	7	6b86	west-journal	2016-09-23	None	Clinton Breaks With Obama On 9/11 Lawsuit Bill	0	1	None	NA
dev	west-journal_2016-09-26_popular-website-shows-bias-when-	7	ef2d	west-journal	2016-09-26	None	Popular Website Shows Bias When It Comes To ‘Fact-Checking’ Republicans	6	1	None	NA
dev	west-journal_2016-09-26_rush-limbaugh-hillary-asking-mod	17	5fec	west-journal	2016-09-26	None	Rush Limbaugh: Hillary Asking Moderator To Fact Check Trump ‘Reeks of Fear’	11	9	None	NA
dev	west-journal_2016-09-28_clinton-campaign-reportedly-scra	14	5fec	west-journal	2016-09-28	None	Clinton Campaign Reportedly Scrambling For Black Voter Turnout In Florida	3	14	None	NA
dev	west-journal_2016-09-29_gold-star-mom-corners-obama-on-h	20	4e07	west-journal	2016-09-29	None	Gold Star Mom Corners Obama On His Refusal To Use The Words ‘Islamic Terrorist’	5	0	None	NA
dev	west-journal_2016-09-30_new-poll-shows-minor-post-debate	10	d473	west-journal	2016-09-30	None	New Poll Shows Minor Post-Debate Bump For Clinton	7	9	None	NA
dev	west-journal_2016-10-04_railing-against-trump-sanders-vo	10	4e07	west-journal	2016-10-04	None	Railing Against Trump, Sanders Vows To Eliminate Tax Breaks Used By Real Estate Developers	13	0	None	NA
dev	west-journal_2016-10-05_pence-gives-gop-a-boost-with-sol	3	d473	west-journal	2016-10-05	None	Pence Gives GOP A Boost With Solid Debate Win Over Kaine	4	1	None	NA
parc3-replication	parc__wsj_0019	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_0064	0	5fec	parc							
parc3-replication	parc__wsj_0071	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_0118	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_0128	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_0195	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_0284	0	5fec	parc							
parc3-replication	parc__wsj_0314	0	ef2d	parc							
parc3-replication	parc__wsj_0349	0	4b22	parc							
parc3-replication	parc__wsj_0361	0	d473	parc							
parc3-replication	parc__wsj_0468	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_0505	0	4b22	parc							
parc3-replication	parc__wsj_0605	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_0684	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_0781	0	4b22	parc							
parc3-replication	parc__wsj_0804	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_0935	0	ef2d	parc							
parc3-replication	parc__wsj_0936	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_0988	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_1013	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_1058	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_1082	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_1151	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_1201	0	d473	parc							
parc3-replication	parc__wsj_1227	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_1228	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_1264	0	d473	parc							
parc3-replication	parc__wsj_1349	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_1351	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_1390	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_1419	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_1464	0	4e07	parc							
parc3-replication	parc__wsj_1489	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_1528	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_1575	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_1602	0	5fec	parc							
parc3-replication	parc__wsj_1638	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_1697	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_1756	0	4e07	parc							
parc3-replication	parc__wsj_1779	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_1825	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_1852	0	4b22|4e07|5fec|6b86|d473|ef2d	parc							
parc3-replication	parc__wsj_1906	0	6b86	parc							
parc3-replication	parc__wsj_1932	0	6b86	parc							
parc3-replication	parc__wsj_2085	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_2105	0	6b86	parc							
parc3-replication	parc__wsj_2117	PARC-1B	4b22|d473|4e07	parc							
parc3-replication	parc__wsj_2145	0	ef2d	parc							
parc3-replication	parc__wsj_2154	PARC-2B	6b86|4b22|d473	parc							
parc3-replication	parc__wsj_2201	PARC-1A	5fec|ef2d|6b86	parc							
parc3-replication	parc__wsj_2218	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_2232	PARC-2A	4e07|ef2d|5fec	parc							
parc3-replication	parc__wsj_2308	0	d473	parc							
parc3-replication	parc__wsj_2448	0	4e07	parc							
test	breitbart_2016-10-12_washington-post-backs-hillary-cl	14	ef2d	breitbart	2016-10-12	AFP	Washington Post backs Hillary Clinton for president	3	7	None	AFP
test	breitbart_2016-10-13_cnn-s-jake-tapper-on-donna-brazi	18	ef2d	breitbart	2016-10-13	Warner Todd Huston	CNN’s Jake Tapper on Donna Brazile Leak to Clinton Campaign: ‘Unethical,’ ‘Horrifying’	0	4	None	None
test	breitbart_2016-10-18_obama-says-trump-modeling-polici	11	5fec	breitbart	2016-10-18	AP	Obama says Trump modeling policies on Putin	16	12	None	AP
test	breitbart_2016-10-19_election-uncertainty-weighs-on-p	14	6b86	breitbart	2016-10-19	AFP	Election uncertainty weighs on parts of US economy: Fed Beige Book	2	1	None	AFP
test	breitbart_2016-10-22_canada-eu-failure-signals-more-b	18	4b22|4e07|5fec|6b86|d473|ef2d	breitbart	2016-10-22	AFP	Canada-EU failure signals more bad news for free trade deals	2	1	None	AFP
test	breitbart_2016-10-25_the-latest-fbi-ready-to-respond-	0	4b22	breitbart	2016-10-25	AP	The Latest: FBI ready to respond to Election Day crimes	21	12	None	AP
test	breitbart_2016-10-28_us-stocks-sink-as-fbi-reopens-cl	7	ef2d	breitbart	2016-10-28	AFP	US stocks sink as FBI reopens Clinton email probe	5	5	None	AFP
test	breitbart_2016-10-31_sheldon-adelson-commits-million-	7	5fec	breitbart	2016-10-31	Alex Swoyer	Sheldon Adelson Commits $25 Million for Corruption Ads Targeting Clinton	2	2	None	None
test	breitbart_2016-11-02_asian-markets-on-edge-on-us-elec	4	4e07	breitbart	2016-11-02	AFP	Asian markets on edge on US election uncertainty	5	1	None	AFP
test	breitbart_2016-11-05_hillary-clinton-documentary-skip	11	4b22	breitbart	2016-11-05	Charlie Spiering	Hillary Clinton Documentary Skips Collapse at 9/11 Ceremony	1	2	None	None
test	breitbart_2016-11-06_clinton-aims-high-trump-goes-har	4	6b86	breitbart	2016-11-06	AP	Clinton aims high, Trump goes hard in closing push	9	10	None	AP
test	breitbart_2016-11-07_wikileaks-hillary-clinton-flatte	0	5fec	breitbart	2016-11-07	Charlie Spiering	WikiLeaks: Hillary Clinton Flattered Obama For His ‘Body Language’	0	2	None	None
test	huff-post_2016-10-10_new-poll-gives-hillary-clinton-a	23	4b22	huff-post	2016-10-10	Ariel Edwards-Levy	New Poll Gives Hillary Clinton A Double-Digit National Lead	8	6	None	None
test	huff-post_2016-10-12_donald-trump-tells-florida-suppo	8	d473	huff-post	2016-10-12	Marina Fang	Donald Trump Tells Florida Supporters The Wrong Date For Election Day	5	0	None	None
test	huff-post_2016-10-14_donald-trump-jr-women-who-can-t-	15	ef2d	huff-post	2016-10-14	Alana Horowitz Satlin	Donald Trump Jr: Women Who Can’t ‘Handle’ Harassment ‘Don’t Belong In The Workforce’	7	0	None	None
test	huff-post_2016-10-21_michaela-angela-davis-it-s-time-	1	d473	huff-post	2016-10-21	Lilly Workneh	Michaela Angela Davis: ‘It’s Time For A Badass Woman’ To Be President	0	3	None	None
test	huff-post_2016-10-25_trump-warns-clinton-policy-on-sy	12	4b22	huff-post	2016-10-25	None	Trump Warns Clinton Policy On Syria Would Lead To World War Three	14	8	None	reuters
test	huff-post_2016-11-02_north-carolina-state-board-of-el	5	ef2d	huff-post	2016-11-02	Julia Craven	North Carolina State Board Of Election Investigated A Voter Fraud Claim And Found Nothing	1	0	None	None
test	huff-post_2016-11-02_obama-calls-on-men-to-reflect-on	8	5fec	huff-post	2016-11-02	Landess Kearns	Obama Calls On Men To Reflect On Sexism Before Voting	3	7	None	None
test	huff-post_2016-11-03_donald-trump-invokes-pervert-ant	5	6b86	huff-post	2016-11-03	Igor Bobic	Donald Trump Invokes ‘Pervert’ Anthony Weiner In Ad Attacking Hillary Clinton	3	7	None	None
test	huff-post_2016-11-03_trump-creepily-singles-out-repor	23	4b22	huff-post	2016-11-03	Rebecca Shapiro	Trump Creepily Singles Out Reporter At Florida Rally (Again)	10	0	None	None
test	huff-post_2016-11-05_hillary-clinton-drops-into-detro	15	4b22	huff-post	2016-11-05	S.V. Date	Hillary Clinton Drops Into Detroit As Democrats Get Nervous About Black Turnout	3	8	None	None
test	huff-post_2016-11-06_most-voters-don-t-change-their-m	19	4b22|4e07|5fec|6b86|d473|ef2d	huff-post	2016-11-06	Natalie Jackson	Most Voters Don’t Change Their Minds In The Final Week Of A Campaign	6	6	None	None
test	huff-post_2016-11-07_thanks-to-trump-hillary-clinton-	12	6b86	huff-post	2016-11-07	S.V. Date	Thanks To Trump, Hillary Clinton Can Be A Nerd And Still Win	11	12	None	None
test	nyt_2016-10-14_how-to-mend-the-tax-code-to-clos	18	5fec	nyt	2016-10-14	By JAMES B. STEWART	How to Mend the Tax Code to Close Trump's Loopholes	31	8	None	None
test	nyt_2016-10-14_shake-up-at-wells-fargo-fails-to	4	4b22	nyt	2016-10-14	By MICHAEL CORKERY and STACY COWLEY	Shake-Up at Wells Fargo Fails to Dispel Skepticism From Lawmakers	0	1	None	None
test	nyt_2016-10-17_british-bank-abruptly-drops-russ	1	6b86	nyt	2016-10-17	NEIL MacFARQUHAR and KIMIKO DE FREYTAS-TAMURA	British Bank Abruptly Drops Russian Network RT's Accounts	2	0	None	None
test	nyt_2016-10-20_luring-chinese-investors-with-tr	15	ef2d	nyt	2016-10-20	NELSON D. SCHWARTZ and SUI-LEE WEE	Luring Chinese Investors With Trump's Name, and Little Else	21	0	None	None
test	nyt_2016-10-23_hillary-clinton-presses-her-adva	18	4b22	nyt	2016-10-23	ALEXANDER BURNS and AMY CHOZICK	Hillary Clinton Presses Her Advantage Over a Struggling Donald Trump	27	29	None	None
test	nyt_2016-10-23_making-sense-of-at-t-s-bid-for-t	8	6b86	nyt	2016-10-23	ANDREW ROSS SORKIN	Making Sense of AT&T's Bid for Time Warner; DealBook	1	1	None	None
test	nyt_2016-10-24_black-democrats-to-hillary-clint	11	5fec	nyt	2016-10-24	JONATHAN MARTIN	Black Democrats to Hillary Clinton: Send Money to Take Congress	4	21	None	None
test	nyt_2016-10-30_for-democrats-anthony-weiner-mak	8	4e07	nyt	2016-10-30	MAGGIE HABERMAN and ALEXANDER BURNS	For Democrats, Anthony Weiner Makes an Unwelcome Return	0	4	None	None
test	nyt_2016-10-31_confidence-even-as-hillary-clint	1	4e07	nyt	2016-10-31	JONATHAN MARTIN and ALEXANDER BURNS	Confidence Even as Hillary Clinton's Momentum Slows	14	19	None	None
test	nyt_2016-11-01_f-b-i-s-email-disclosure-broke-a	15	d473	nyt	2016-11-01	MATT APUZZO, MICHAEL S. SCHMIDT, ADAM GOLDMAN and WILLIAM K. RASHBAUM	F.B.I.'s Email Disclosure Broke a Pattern Followed Even This Summer	5	14	None	None
test	nyt_2016-11-02_why-sexual-harassment-persists-i	4	4e07	nyt	2016-11-02	SHERYL GAY STOLBERG	Why Sexual Harassment Persists in Politics	3	1	None	None
test	nyt_2016-11-07_markets-watch-closely-as-u-s-ele	11	6b86	nyt	2016-11-07	By THE NEW YORK TIMES	Markets Watch Closely as U.S. Elections Near	2	2	None	None
